Sr. No.,BarCode,Parent Barcode,HSN/SAC,Item Name,MRP per quantity,Price (Rs),Suggested Profit Per Quantity,Suggested Profit,Paid Cost per quantity,Quantity,Total Value(Incl.of Tax)(Rs),Selling per quantity,Profit Per Quantity,Profit,,Suggested Profit Percent,Profit Percent,,Suggested Profit Total,Auctual Profit,
,7622202252372,,19053100,"Oreo Strawberry Creme Biscuits By Cadbury
113.75 g",30,,2.9,11.6,27.1,4,108.4,30,2.9,11.6,,10.70%,10.70%,,,,
,8901058875836,,17049030,Polo Mints 24 g,10,,1.51,7.55,8.49,5,42.45,10,1.51,7.55,,17.79%,17.79%,,,,
,7622202318771,,18063200,Cadbury Dairy Milk Fruit & Nut Chocolate Bar 80 g,110,,17.91,71.64,92.09,4,368.36,110,17.91,71.64,,19.45%,19.45%,,,,
,8902433003646,,18069010,Galaxy Crispy Smooth Milk Chocolate Bar 18 g,20,,2.4,14.4,17.6,6,105.6,20,2.4,14.4,,13.64%,13.64%,,,,
,8901719135323,,19059020,Parle Krackjack The Original Sweet And Salty Cracker Biscuits 16 Individual 700 g,120,,13.23,39.69,106.77,3,320.31,120,13.23,39.69,,12.39%,12.39%,,,,
,8906009079813,,19053100,Unibic Choco Chip Cookies 500 g,200,,101.49,304.47,98.51,3,295.53,200,101.49,304.47,,103.03%,103.03%,,,,
,octane-gel-8903183302508,8903183302508,96081011,ITC Octane Gel Pen Blue & Black Assorted Jar (25pc),10,,,0,10,40,,10,,,,,,,,,
,8901324010664,,,apsara rubber,3,,,0,3,20,,3,,,,,,,,,
,8901324580020,,,natraja scale,5,,,0,5,10,,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,8901058012323,,,Kitkat ,5,,,,,,,5,,,,,,,,,
,7622202237973,,,Dairy Milk,5,,,,,,,5,,,,,,,,,
,8996001312452,,,Malkist Double Chocolatey,5,,,,,,,5,,,,,,,,,
,8901719134845,,,parle g,5,,,,,,,5,,,,,,,,,
,8901063162549,,,marie GOLD,5,,,,,,,5,,,,,,,,,
,8901058005080,,,munch,20,,,,,,,20,,,,,,,,,
,8901287100013,,,Mysore Sandal Soap,42,,,,,,,40,,,,,,,,,
,8901058000290,,,Maggie 2 min noodles,15,,,,,,,15,,,,,,,,,
,8909106022478,,,Surfexcel Bar,10,,,,,,,10,,,,,,,,,
,8906057530854,,,medimix,35,,,,,,,34,,,,,,,,,
,8909106022003,,,comfort  210,58,,,,,,,57,,,,,,,,,
,8901314765314,,,Colgate Dental cream 200g,143,,,,,,,138,,,,,,,,,
,8901314714299,,,Colgate Dental cream 100g,69,,,,,,,67,,,,,,,,,
,8901571005659,,,Sensodyne 150g,252,,,,,,,245,,,,,,,,,
,8901324055795,,,Apsara Platinum,60,,,,,,,59,,,,,,,,,
,8908003630007,,,Tooth Brush Ajay,22,,,,,,,21,,,,,,,,,
,8901030538421,,,Vim pouch200ml,25,,,,,,,24,,,,,,,,,
,8901030996177,,,Dove Hair fall rescue ,930,,,,,,,830,,,,,,,,,
